Round,Centralized_Accuracy,FL_IID_Accuracy,FL_Non_IID_Accuracy,FL_Non_IID_DP_Accuracy,Communication_MB
1,86.45734783979817,86.39230526647745,86.06709239987386,86.06709239987386,0.1355743408203125
2,86.47902869757175,86.41398612425102,86.27995900346895,86.30755282245349,0.271148681640625
3,86.40018921475875,86.46128981393882,86.38245033112582,86.40807316304006,0.4067230224609375
4,86.47311573636077,86.44946389151687,86.42975402081362,86.419899085462,0.54229736328125
5,86.33908861557869,86.45734783979817,86.49676758120467,86.42384105960265,0.6778717041015625
6,86.48099968464207,86.43369599495428,86.48099968464207,86.41595711132135,0.813446044921875
7,86.49873856827499,86.4277830337433,86.50268054241565,86.44946389151687,0.9490203857421875
8,86.40610217596972,86.45537685272785,86.52830337432987,86.46917376222012,1.0845947265625
9,86.51056449069694,86.4041311888994,86.51647745190792,86.46523178807946,1.2201690673828125
10,86.45537685272785,86.43172500788395,86.53027436140019,86.45340586565752,1.355743408203125
