Round,Centralized_Accuracy,FL_IID_Accuracy,FL_Non_IID_Accuracy,FL_Non_IID_DP_Accuracy,Communication_MB
1,86.47508672343109,86.1656417533901,86.06906338694418,86.06512141280353,0.1355743408203125
2,86.46523178807946,86.41004415011038,86.3016398612425,86.43172500788395,0.271148681640625
3,86.4435509303059,86.47508672343109,86.35288552507096,86.54407127089246,0.4067230224609375
4,86.48888363292336,86.50859350362661,86.3725953957742,86.57363607694734,0.54229736328125
5,86.50465152948597,86.53027436140019,86.43763796909492,86.56378114159571,0.6778717041015625
6,86.51253547776726,86.50859350362661,86.4435509303059,86.56969410280668,0.813446044921875
7,86.54998423210344,86.4908546199937,86.43763796909492,86.59137496058025,0.9490203857421875
8,86.41398612425102,86.4672027751498,86.41792809839167,86.56181015452539,1.0845947265625
9,86.46326080100914,86.44749290444655,86.48099968464207,86.55786818038473,1.2201690673828125
10,86.5145064648376,86.53421633554083,86.43960895616524,86.56378114159571,1.355743408203125
